Airport,Code,Location,Country,Latitude,Longitude,flow_2022,flow_2021,flow_2020,flow_2019,flow_2018,flow_2017,flow_2016,flow_2015,flow_2014,flow_2013,flow_2012,flow_2011
Dubai International Airport,DXB,"Garhoud, Dubai, Dubai",United Arab Emirates,25.2528,55.3644,66069981,29110607,25900000,86396757,89149387,88242099,83669850,78014841,70475636,66496469,57684550,50977960
O'Hare International Airport,ORD,"Chicago, Illinois",United States,41.9742,-87.9073,68340619,54024784,30860251,84649115,83245472,79828183,77960588,76949504,69999010,66777161,66633503,66701241
Hartsfield–Jackson Atlanta International Airport,ATL,"Atlanta, Georgia",United States,33.6407,-84.4277,93699630,75704760,42918685,110531300,107394029,103902992,104171935,101491106,96178899,94431224,95513828,92389023
Denver International Airport,DEN,"Denver, Colorado",United States,39.8561,-104.6737,69286461,58828552,33741129,69015703,64494613,61379396,58266515,54014502,53472514,52556359,53156278,52849132
Istanbul Airport,IST,"Arnavutköy, Istanbul",Turkey,41.2753,28.7519,64486178,37181907,23410380,52009220,68360648,63859785,60248741,61346229,56767108,18842788,14872910,13688979
Dallas Fort Worth International Airport,DFW,"Dallas–Fort Worth, Texas",United States,32.8998,-97.0403,73362946,62465756,39364990,75066956,69112607,67092777,65670697,65512163,63554402,60470507,58621369,57832495
Indira Gandhi International Airport,DEL,"Palam, Delhi",India,28.5562,77.1,6131248,65327833,37139957,28508136,68490731,69866994,63451503,55631385,45981773,36712455,34211608,35001743
Paris Charles de Gaulle Airport,CDG,"Roissy-en-France, Île-de-France",France,49.0097,2.5479,57474033,26196575,22261238,76172495,72231576,69471442,65933145,65766986,63813756,62052917,61611934,60970551
Heathrow Airport,LHR,"Hillingdon, London",United Kingdom,51.47,-0.4543,61611381,19393145,22109726,80957272,80102017,78014598,75715474,74996149,76675112,76329610,74889716,73393416
Los Angeles International Airport,LAX,"Los Angeles, California",United States,33.9416,-118.4085,65924298,48007284,28779527,88068013,87534384,84557968,80921527,74937004,70663265,66702252,63688121,61862052
John F. Kennedy International Airport,JFK,"Queens, New York, New York",United States,40.6413,-73.7781,55287693,30788322,16630642,62551072,61623756,59392500,58813103,56827154,53254533,50413204,49293587,47644060
Shanghai Pudong International Airport,PVG,"Pudong, Shanghai",China,31.1443,121.805,66002414,32206814,30476531,76153455,74006331,70001237,66002414,60053387,51687894,47189849,44880164,41447730
Amsterdam Airport Schiphol,AMS,"Haarlemmermeer, North Holland",Netherlands,52.3105,4.7683,52472188,25500000,20887144,71706999,71053147,68515425,63625534,58284864,54978023,52837493,52948339,45211749
Miami International Airport,MIA,"Miami-Dade County, Florida",United States,25.7959,-80.287,50684396,37302456,18663858,45924466,45044312,44071313,44584603,44350247,40941879,40563071,39467444,38314389
Tokyo Haneda Airport,HND,"Ōta, Tokyo",Japan,35.5494,139.7798,50290705,25876429,31055210,85505054,86942794,76476251,79699762,75316718,72826565,68906636,67788722,62584826